T_i,sigma,delta,q,eps_nonsubsampled_library,eps_subsampled_INVALID,naive_amplification_factor,invalid,reason
10,0.5,1e-05,0.05,48.75517729826278,10.369708818747975,4.701692029202939,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,0.5,1e-05,0.1,48.75517729826278,14.415024928372686,3.3822471719975553,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,0.5,1e-05,0.2,48.75517729826278,20.713939761496984,2.3537375245673338,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,0.5,1e-05,0.3,48.75517729826278,25.855968367142268,1.8856449932937263,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,0.5,1e-05,0.5,48.75517729826278,34.25248738309445,1.4234054523680004,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,0.5,1e-05,0.7,48.75517729826278,40.96000970608036,1.1903116636963407,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,0.5,1e-05,1.0,48.75517729826278,48.75517729826278,1.0,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,0.8,1e-05,0.05,25.51480779666212,3.5954229574269,7.096469066026669,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,0.8,1e-05,0.1,25.51480779666212,5.443543851514352,4.68716859689926,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,0.8,1e-05,0.2,25.51480779666212,8.609170053868757,2.9636779895172785,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,0.8,1e-05,0.3,25.51480779666212,11.375476595817897,2.2429660490921703,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,0.8,1e-05,0.5,25.51480779666212,16.181891192039302,1.576750671096723,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,0.8,1e-05,0.7,25.51480779666212,20.312038807331895,1.2561421351485513,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,0.8,1e-05,1.0,25.51480779666212,25.51480779666212,1.0,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,1.0,1e-05,0.05,19.04785212557907,2.15574468940532,8.835857149129092,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,1.0,1e-05,0.1,19.04785212557907,3.4414008893316037,5.534912304064228,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,1.0,1e-05,0.2,19.04785212557907,5.754131997510285,3.310291132323824,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,1.0,1e-05,0.3,19.04785212557907,7.830565450575483,2.432500212890655,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,1.0,1e-05,0.5,19.04785212557907,11.544594078161005,1.6499369312267145,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,1.0,1e-05,0.7,19.04785212557907,14.809114620581333,1.2862249103742398,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,1.0,1e-05,1.0,19.04785212557907,19.04785212557907,1.0,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,1.5,1e-05,0.05,11.439239458780193,0.8656244615007372,13.215014093926978,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,1.5,1e-05,0.1,11.439239458780193,1.5518286955448721,7.371457617468332,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,1.5,1e-05,0.2,11.439239458780193,2.882848642017013,3.9680333167878765,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,1.5,1e-05,0.3,11.439239458780193,4.132078110743758,2.7683986488631924,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,1.5,1e-05,0.5,11.439239458780193,6.44494469930107,1.7749166195360428,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,1.5,1e-05,0.7,11.439239458780193,8.563039018165593,1.3358854764661285,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,1.5,1e-05,1.0,11.439239458780193,11.439239458780193,1.0,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,2.0,1e-05,0.05,8.078721970603716,0.4786659469581177,16.87757823998829,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,2.0,1e-05,0.1,8.078721970603716,0.9349504114398911,8.640802626271805,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,2.0,1e-05,0.2,8.078721970603716,1.8415996227466036,4.3867960607827055,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,2.0,1e-05,0.3,8.078721970603716,2.713493507818023,2.9772402061503316,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,2.0,1e-05,0.5,8.078721970603716,4.367017952679915,1.8499401784336686,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,2.0,1e-05,0.7,8.078721970603716,5.918354727171096,1.3650283470699045,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,2.0,1e-05,1.0,8.078721970603716,8.078721970603716,1.0,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,3.0,1e-05,0.05,5.023925756466362,0.24320792649678163,20.656916198546856,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,3.0,1e-05,0.1,5.023925756466362,0.507082522493332,9.907511171482794,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,3.0,1e-05,0.2,5.023925756466362,1.0401718879746369,4.829899571933887,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,3.0,1e-05,0.3,5.023925756466362,1.5687442367698132,3.202514239549387,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,3.0,1e-05,0.5,5.023925756466362,2.6008520416068888,1.9316461206160813,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,3.0,1e-05,0.7,5.023925756466362,3.596998936978175,1.3966992608251763,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
10,3.0,1e-05,1.0,5.023925756466362,5.023925756466362,1.0,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
50,0.5,1e-05,0.05,165.6502245100313,16.301542050818654,10.161629126473496,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
50,0.5,1e-05,0.1,165.6502245100313,25.892727820501616,6.397557864833037,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
50,0.5,1e-05,0.2,165.6502245100313,46.75165992640122,3.543194504126829,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
50,0.5,1e-05,0.3,165.6502245100313,67.61232078174554,2.4500005708242862,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
50,0.5,1e-05,0.5,165.6502245100313,105.60059391646757,1.5686486066646967,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
50,0.5,1e-05,0.7,165.6502245100313,132.20081040284367,1.2530197356979904,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
50,0.5,1e-05,1.0,165.6502245100313,165.6502245100313,1.0,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
50,0.8,1e-05,0.05,79.63659041750716,5.292369216780196,15.04743663102873,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
50,0.8,1e-05,0.1,79.63659041750716,9.25207532330663,8.607429969457444,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
50,0.8,1e-05,0.2,79.63659041750716,16.932651916486968,4.703137512675536,True,aggregator observes participation A_i(t) directly; subsampling-amplification hypothesis violated -- see docs/derivations/e1_amplification.md
